LOWER_ARM_L,LOWER_ARM_R,LOWER_LEG_L,LOWER_LEG_R,UPPER_ARM_L,UPPER_ARM_R,UPPER_LEG_L,UPPER_LEG_R,name
111.0,103.0,224.0,218.0,110.0,87.0,188.0,200.0,02021032312
63.0,71.0,192.0,144.0,93.0,65.0,170.0,188.0,02020618329
54.0,53.0,86.0,92.0,39.0,42.0,128.0,159.0,010106193133
59.0,51.0,78.0,80.0,40.0,51.0,121.0,133.0,01010414354
53.0,60.0,116.0,117.0,69.0,61.0,151.0,191.0,01010518322
59.0,57.0,92.0,97.0,64.0,63.0,189.0,190.0,01010310351
58.0,66.0,85.0,96.0,57.0,46.0,159.0,197.0,02021240315
66.0,72.0,105.0,112.0,73.0,81.0,168.0,156.0,01010620314
48.0,54.0,88.0,72.0,62.0,38.0,153.0,146.0,01010308385
44.0,44.0,69.0,71.0,46.0,41.0,118.0,105.0,02010511320
57.0,64.0,91.0,109.0,67.0,65.0,139.0,142.0,02010408335
135.0,66.0,125.0,142.0,77.0,65.0,123.0,179.0,02020617302
54.0,48.0,99.0,104.0,59.0,76.0,121.0,120.0,01010308315
47.0,47.0,78.0,86.0,34.0,39.0,111.0,120.0,02021243305
63.0,63.0,121.0,143.0,51.0,74.0,174.0,188.0,01010310359
72.0,80.0,99.0,96.0,58.0,74.0,187.0,219.0,02021029312
57.0,57.0,78.0,101.0,38.0,58.0,202.0,126.0,02021557312
